date,method,asset,weight
2023-12-04,min_variance,crypto_XRP-USD,4.2846022487943955e-19
2023-12-04,min_variance,equity_WFC,2.7477811828994573e-19
2023-12-04,min_variance_sentiment,equity_KO,0.19440115132418145
2023-12-04,min_variance_sentiment,equity_WMT,0.15454304301529828
2023-12-04,min_variance_sentiment,equity_MRK,0.09428935919509362
2023-12-04,min_variance_sentiment,equity_V,0.09404154019532332
2023-12-04,min_variance_sentiment,equity_ABBV,0.09044759832647976
2023-12-04,min_variance_sentiment,equity_O,0.0760292804342567
2023-12-04,min_variance_sentiment,equity_TMUS,0.0654853151239042
2023-12-04,min_variance_sentiment,equity_EA,0.04159842255436276
2023-12-04,min_variance_sentiment,equity_T,0.03435010942944221
2023-12-04,min_variance_sentiment,equity_CVX,0.03092956416953242
2023-12-04,min_variance_sentiment,equity_OXY,0.02028252661221281
2023-12-04,min_variance_sentiment,equity_NVDA,0.016134604095590494
2023-12-04,min_variance_sentiment,equity_DUK,0.013966708235408205
2023-12-04,min_variance_sentiment,equity_ABT,0.013953928773676126
2023-12-04,min_variance_sentiment,crypto_BTC-USD,0.013874529732015896
2023-12-04,min_variance_sentiment,crypto_TRX-USD,0.01267543719297027
2023-12-04,min_variance_sentiment,equity_NEM,0.009359946263853643
2023-12-04,min_variance_sentiment,equity_AMGN,0.008171907259227708
2023-12-04,min_variance_sentiment,equity_INTC,0.007050501532405392
2023-12-04,min_variance_sentiment,equity_AMD,0.005808525722663715
2023-12-04,min_variance_sentiment,equity_GE,0.0017765740190249925
2023-12-04,min_variance_sentiment,equity_DD,0.000829426793075989
2023-12-04,min_variance_sentiment,equity_XOM,6.4618002474383614e-18
2023-12-04,min_variance_sentiment,equity_SO,4.973097832656375e-18
2023-12-04,min_variance_sentiment,equity_BA,3.758887588373099e-18
2023-12-04,min_variance_sentiment,crypto_BCH-USD,3.497759666469218e-18
2023-12-04,min_variance_sentiment,equity_CMCSA,3.3898887996291212e-18
2023-12-04,min_variance_sentiment,crypto_XLM-USD,3.3290147956452845e-18
2023-12-04,min_variance_sentiment,equity_USB,3.298154177734672e-18
2023-12-04,min_variance_sentiment,equity_SBUX,2.6854818793109822e-18
2023-12-04,min_variance_sentiment,equity_NKE,2.6268518633630753e-18
2023-12-04,min_variance_sentiment,crypto_ADA-USD,2.4730711627028027e-18
2023-12-04,min_variance_sentiment,equity_TTWO,2.0680997053746824e-18
2023-12-04,min_variance_sentiment,equity_MMM,2.0449261682927585e-18
2023-12-04,min_variance_sentiment,equity_CAT,1.9622490852191997e-18
2023-12-04,min_variance_sentiment,equity_UPS,1.7983615829372213e-18
2023-12-04,min_variance_sentiment,equity_D,7.781822888139072e-19
2023-12-04,min_variance_sentiment,equity_GS,7.042262001453049e-19
2023-12-04,min_variance_sentiment,crypto_ETH-USD,5.680736970513502e-19
2023-12-04,min_variance_sentiment,crypto_XRP-USD,4.207708031915237e-19
2023-12-04,min_variance_sentiment,equity_WFC,2.6839796681266073e-19
2023-12-04,min_variance_sentiment_shock,equity_KO,0.2213446097130903
2023-12-04,min_variance_sentiment_shock,equity_WMT,0.17596227855179117
2023-12-04,min_variance_sentiment_shock,equity_V,0.08522595261130762
2023-12-04,min_variance_sentiment_shock,equity_MRK,0.0795968798852624
2023-12-04,min_variance_sentiment_shock,equity_ABBV,0.07635375488136618
2023-12-04,min_variance_sentiment_shock,equity_O,0.07535934480550617
2023-12-04,min_variance_sentiment_shock,equity_TMUS,0.06610251673348333
2023-12-04,min_variance_sentiment_shock,equity_EA,0.041990489284253675
2023-12-04,min_variance_sentiment_shock,equity_T,0.03467386052980657
2023-12-04,min_variance_sentiment_shock,equity_CVX,0.02752643650915118
2023-12-04,min_variance_sentiment_shock,equity_OXY,0.01805087449587187
2023-12-04,min_variance_sentiment_shock,equity_DUK,0.014409360699939427
2023-12-04,min_variance_sentiment_shock,equity_NVDA,0.0142983651058135
2023-12-04,min_variance_sentiment_shock,crypto_BTC-USD,0.014164174563223265
2023-12-04,min_variance_sentiment_shock,crypto_TRX-USD,0.01294004975549667
2023-12-04,min_variance_sentiment_shock,equity_ABT,0.01177958151383428
2023-12-04,min_variance_sentiment_shock,equity_NEM,0.009423058083578382
2023-12-04,min_variance_sentiment_shock,equity_AMGN,0.006898533685019449
2023-12-04,min_variance_sentiment_shock,equity_INTC,0.0062481015643253935
2023-12-04,min_variance_sentiment_shock,equity_AMD,0.005147471919181011
2023-12-04,min_variance_sentiment_shock,equity_GE,0.0016692856943865226
2023-12-04,min_variance_sentiment_shock,equity_DD,0.0008350194143116079
2023-12-04,min_variance_sentiment_shock,equity_XOM,5.750819289627851e-18
2023-12-04,min_variance_sentiment_shock,equity_SO,5.130712209278017e-18
2023-12-04,min_variance_sentiment_shock,crypto_BCH-USD,3.5707789347086774e-18
2023-12-04,min_variance_sentiment_shock,equity_BA,3.531886209571997e-18
2023-12-04,min_variance_sentiment_shock,equity_CMCSA,3.421838631732191e-18
2023-12-04,min_variance_sentiment_shock,crypto_XLM-USD,3.3985113441550707e-18
2023-12-04,min_variance_sentiment_shock,equity_SBUX,3.0576821917912497e-18
2023-12-04,min_variance_sentiment_shock,equity_NKE,2.9909262188504277e-18
2023-12-04,min_variance_sentiment_shock,equity_USB,2.9889805193809442e-18
2023-12-04,min_variance_sentiment_shock,crypto_ADA-USD,2.5246990227687154e-18
2023-12-04,min_variance_sentiment_shock,equity_TTWO,2.0875916245097168e-18
2023-12-04,min_variance_sentiment_shock,equity_MMM,1.921431903344595e-18
2023-12-04,min_variance_sentiment_shock,equity_CAT,1.8437477367687267e-18
2023-12-04,min_variance_sentiment_shock,equity_UPS,1.6897574948095502e-18
2023-12-04,min_variance_sentiment_shock,equity_D,8.028455310175885e-19
2023-12-04,min_variance_sentiment_shock,equity_GS,6.382110356398619e-19
2023-12-04,min_variance_sentiment_shock,crypto_ETH-USD,5.79932809632017e-19
2023-12-04,min_variance_sentiment_shock,crypto_XRP-USD,4.295548189831487e-19
2023-12-04,min_variance_sentiment_shock,equity_WFC,2.4323796008696897e-19
